MV,#genre#
陈诗妮-把自己灌醉,http://em.21dtv.com/songs/60127565.mkv
徐在明-把自己灌醉,http://em.21dtv.com/songs/60113515.mkv
陈戈-把自己灌醉,http://em.21dtv.com/songs/60009607.mkv
刘媛媛-不曾见过你,http://em.21dtv.com/songs/60082683.mkv
杨丞琳-被自己绑架,http://em.21dtv.com/songs/60081729.mkv
王昊-不做花心男,http://em.21dtv.com/songs/60074814.mkv
郭丽霞-不做黄脸婆,http://em.21dtv.com/songs/60108061.mkv
佚名-别再跟着我,http://em.21dtv.com/songs/60010759.mkv
陈小春-不在服务区,http://em.21dtv.com/songs/60011770.mkv
沈芳如-变质的幸福,http://em.21dtv.com/songs/60010530.mkv
周俊伟-不做单身汉,http://em.21dtv.com/songs/60087578.mkv
周俊伟-不作单身汉,http://em.21dtv.com/songs/60011813.mkv
佚名-杯中的目屎(无原唱),http://em.21dtv.com/songs/60010102.mkv
王浩-爆炸的玫瑰,http://em.21dtv.com/songs/60074635.mkv
黄鸿升-变奏的浪漫,http://em.21dtv.com/songs/60080167.mkv
黄义达-变质的感情,http://em.21dtv.com/songs/60010529.mkv
小松拓也-不知道方向(无原唱),http://em.21dtv.com/songs/60011793.mkv
郭采洁-爆炸的沉默,http://em.21dtv.com/songs/60069244.mkv
佚名-编织的爱心,http://em.21dtv.com/songs/60010480.mkv
戴梅君-标准的爱人,http://em.21dtv.com/songs/60095537.mkv
财部有辉-butter-fly振翅高飞(无原唱),http://em.21dtv.com/songs/60000746.mkv
江蕙-半醉半清醒,http://em.21dtv.com/songs/60095726.mkv
龙千玉+高向鹏-半知半了解,http://em.21dtv.com/songs/60009908.mkv
袁凤瑛-不知不觉间,http://em.21dtv.com/songs/60011790.mkv
林子娟-不曾爱过我,http://em.21dtv.com/songs/60086474.mkv
佚名-包着爱的心,http://em.21dtv.com/songs/60009956.mkv
佚名-保重啊爱人(探戈),http://em.21dtv.com/songs/60010035.mkv
蔡国权-不应再犹豫,http://em.21dtv.com/songs/60011691.mkv
陈浩德-不应再犹豫(演唱会),http://em.21dtv.com/songs/60011690.mkv
赵真-不要再想我,http://em.21dtv.com/songs/60011648.mkv
东野-不要再想她,http://em.21dtv.com/songs/60086566.mkv
王可-不要再想你,http://em.21dtv.com/songs/60071803.mkv
李丽珍-不应再想你,http://em.21dtv.com/songs/60011689.mkv
李健-八月照相馆(演唱会),http://em.21dtv.com/songs/60009497.mkv
段千寻-不要再欺骗,http://em.21dtv.com/songs/60011641.mkv
晨熙-不要再骗我,http://em.21dtv.com/songs/60080922.mkv
湘东雨-不要再骗我,http://em.21dtv.com/songs/60074794.mkv
臧天朔-别一种美丽,http://em.21dtv.com/songs/60091910.mkv
烁嘉-不要做离人,http://em.21dtv.com/songs/60074796.mkv
洛天依-百亿兆狂热,http://em.21dtv.com/songs/60128175.mkv
田亚霍-不要再见面,http://em.21dtv.com/songs/60135582.mkv
田亚霍-不要再见面,http://em.21dtv.com/songs/60132750.mkv
田亚霍-不要再见面,http://em.21dtv.com/songs/60131687.mkv
徐佳莹-不要再孤单,http://em.21dtv.com/songs/60125559.mkv
张崇基+张崇德-抱拥这份钟(演唱会),http://em.21dtv.com/songs/60063965.mkv
陈奕迅-抱拥这分钟,http://em.21dtv.com/songs/60010074.mkv
纪佳松+曾沛慈-不要再打了,http://em.21dtv.com/songs/60096426.mkv
张斯斯+李贺-不要再沉默,http://em.21dtv.com/songs/60066891.mkv
储毅-不愿意想起,http://em.21dtv.com/songs/60108312.mkv
陈小春-比永远更远,http://em.21dtv.com/songs/60074665.mkv
满文军-不愿一个人,http://em.21dtv.com/songs/60098604.mkv
六弦+范玮琪-不愿一个人,http://em.21dtv.com/songs/60094817.mkv
苏永康-不愿一个人,http://em.21dtv.com/songs/60093079.mkv
B2-不要一个人,http://em.21dtv.com/songs/60092137.mkv
范玮琪+六弦-不愿一个人,http://em.21dtv.com/songs/60081778.mkv
周华健-不愿一个人,http://em.21dtv.com/songs/60011722.mkv
梁汉文-不愿一个人,http://em.21dtv.com/songs/60011721.mkv
梁汉文-不愿一个人(演唱会),http://em.21dtv.com/songs/60011720.mkv
陈奕迅+杨千嬅+梁汉文-不一样的夏,http://em.21dtv.com/songs/60011680.mkv
李华-不一样的我,http://em.21dtv.com/songs/60132525.mkv
七朵组合-不一样的我,http://em.21dtv.com/songs/60112483.mkv
张柏芝-不一样的我,http://em.21dtv.com/songs/60011679.mkv
陈芷盈-不一样的爱,http://em.21dtv.com/songs/60124652.mkv
罗美玲-不一样的爱,http://em.21dtv.com/songs/60011676.mkv
陈明真-不愿也不甘(无原唱),http://em.21dtv.com/songs/60096000.mkv
陈怡真-不愿也不甘(无原唱),http://em.21dtv.com/songs/60011719.mkv
伍佰-不要想太多,http://em.21dtv.com/songs/60090582.mkv
谭圳-不愿想起你,http://em.21dtv.com/songs/60062978.mkv
佚名-不愿心空虚,http://em.21dtv.com/songs/60095388.mkv
佚名-不愿心空虚(无原唱),http://em.21dtv.com/songs/60011718.mkv
贺一航-抱一下就好,http://em.21dtv.com/songs/60134243.mkv
郑志勇+陈姝娜-不愿醒的梦,http://em.21dtv.com/songs/60127471.mkv
[Group]
groupName=十六万歌曲MV等 - 66
谢天笑-把夜晚染黑,http://em.21dtv.com/songs/60082571.mkv
潘玮柏-不要忘了我,http://em.21dtv.com/songs/60011626.mkv
唐子晴-不要忘记笑,http://em.21dtv.com/songs/60125324.mkv
纪佳松-不要忘记我,http://em.21dtv.com/songs/60094246.mkv
孟子焱+白露娜-不要忘记我,http://em.21dtv.com/songs/60082677.mkv
张智霖-别要我放弃,http://em.21dtv.com/songs/60010748.mkv
沙宝亮-被遗忘的人,http://em.21dtv.com/songs/60010306.mkv
蒋蒋-被遗忘的街,http://em.21dtv.com/songs/60081004.mkv
关浩-不要太任性,http://em.21dtv.com/songs/60109165.mkv
盖鸣晖+吴美英-拜月亭-哭灵,http://em.21dtv.com/songs/60009826.mkv
沈志豪-拨一通电话,http://em.21dtv.com/songs/60119756.mkv
佚名-不要说再见,http://em.21dtv.com/songs/60011619.mkv
蔡恒-不要说再见,http://em.21dtv.com/songs/60011618.mkv
GOGO+MEME-不要说再见,http://em.21dtv.com/songs/60011617.mkv
王菲-哔一声之后,http://em.21dtv.com/songs/60010433.mkv
严淑明-不要说我坏,http://em.21dtv.com/songs/60011616.mkv
温兆伦-不要失去你,http://em.21dtv.com/songs/60091624.mkv
明阳-不愿失去你,http://em.21dtv.com/songs/60087931.mkv
郑智化-不要说黎明,http://em.21dtv.com/songs/60011614.mkv
汪苏泷-不要睡懒觉,http://em.21dtv.com/songs/60081173.mkv
覃春江-不要说分手,http://em.21dtv.com/songs/60068147.mkv
杨乃文-不要说出去,http://em.21dtv.com/songs/60088060.mkv
佚名-白云山传奇,http://em.21dtv.com/songs/60009759.mkv
陈慧琳-不要说抱歉,http://em.21dtv.com/songs/60011610.mkv
张震岳-不要说爱我,http://em.21dtv.com/songs/60071802.mkv
许楚涵-不要说爱我,http://em.21dtv.com/songs/60011609.mkv
苏慧伦-不要说爱我,http://em.21dtv.com/songs/60011608.mkv
李湘-不用说爱你,http://em.21dtv.com/songs/60011697.mkv
陈慧琳+许志安+雷颂德-不要让我停,http://em.21dtv.com/songs/60011604.mkv
刘牧-不要气身体,http://em.21dtv.com/songs/60069280.mkv
TEEN TOP-不要喷香水,http://em.21dtv.com/songs/60061079.mkv
阿弟+童冰玉-不要骗小孩,http://em.21dtv.com/songs/60011595.mkv
洪禄云+陈水林-不要抛弃我,http://em.21dtv.com/songs/60082676.mkv
青山-不要抛弃我(演唱会),http://em.21dtv.com/songs/60082675.mkv
郑锦昌-不要抛弃我(演唱会),http://em.21dtv.com/songs/60074786.mkv
佚名-不要抛弃我,http://em.21dtv.com/songs/60011591.mkv
刘明珠-不要抛弃我,http://em.21dtv.com/songs/60011590.mkv
刘明珠-不要抛弃我(演唱会),http://em.21dtv.com/songs/60011589.mkv
曾惜-不要你为难,http://em.21dtv.com/songs/60125657.mkv
曾惜-不要你为难,http://em.21dtv.com/songs/60110247.mkv
黄鹤翔-不愿你离去,http://em.21dtv.com/songs/60062488.mkv
刘沁-不要你离去(无原唱),http://em.21dtv.com/songs/60011585.mkv
韩一菲-不要迷恋姐,http://em.21dtv.com/songs/60074785.mkv
张彦子-不要迷恋姐,http://em.21dtv.com/songs/60068146.mkv
张宇-不要来找我,http://em.21dtv.com/songs/60097505.mkv
余帝-不愿两头飞,http://em.21dtv.com/songs/60017231.mkv
李常超-不要离开我,http://em.21dtv.com/songs/60111972.mkv
门丽-不要离开我,http://em.21dtv.com/songs/60094320.mkv
王宏恩-不要离开我,http://em.21dtv.com/songs/60011575.mkv
LITY林天伟-不要离开我,http://em.21dtv.com/songs/60011574.mkv
高山林-不要离开我,http://em.21dtv.com/songs/60011573.mkv
李乐诗-不要看透我,http://em.21dtv.com/songs/60011567.mkv
陈笑风+陈笑风-宝玉哭晴雯(戏曲),http://em.21dtv.com/songs/60093495.mkv
佚名-不愿哭出声(无原唱),http://em.21dtv.com/songs/60011715.mkv
熊志鹏-毕业季之歌,http://em.21dtv.com/songs/60115280.mkv
何静-不要叫我走,http://em.21dtv.com/songs/60011560.mkv
郑超-不要借我钱,http://em.21dtv.com/songs/60011561.mkv
刘广-八一军旗红,http://em.21dtv.com/songs/60106641.mkv
庄淑君-不愿甲你煞(无原唱),http://em.21dtv.com/songs/60071452.mkv
韩伟-毕业纪念日,http://em.21dtv.com/songs/60010422.mkv
City魅-毕业纪念册,http://em.21dtv.com/songs/60101745.mkv
优客李林-毕业纪念册,http://em.21dtv.com/songs/60087296.mkv
林志炫-毕业纪念册,http://em.21dtv.com/songs/60010421.mkv
范玉阳-不韵脚的爱,http://em.21dtv.com/songs/60130694.mkv
柳絮-不要怀疑我,http://em.21dtv.com/songs/60084936.mkv
林玉英-不愿乎你娶,http://em.21dtv.com/songs/60095683.mkv
佚名-不愿乎你娶(无原唱),http://em.21dtv.com/songs/60011713.mkv
苏盈之-不应该勇敢,http://em.21dtv.com/songs/60082679.mkv
大支+EAC-毕业干什么,http://em.21dtv.com/songs/60010418.mkv
佚名-八月桂花香,http://em.21dtv.com/songs/60009495.mkv
马浚伟-不应该发生,http://em.21dtv.com/songs/60011687.mkv
叶倩文-不要关电视,http://em.21dtv.com/songs/60011557.mkv
叶倩文-不要关电视(演唱会),http://em.21dtv.com/songs/60011556.mkv
梁雁翎-不应该的爱,http://em.21dtv.com/songs/60011686.mkv
蔡小虎-不应该爱你,http://em.21dtv.com/songs/60011685.mkv
尹光+胡美义-宝玉访香环,http://em.21dtv.com/songs/60010013.mkv
林军-不要放弃哟Baby,http://em.21dtv.com/songs/60097506.mkv
王宏恩-不用担心我,http://em.21dtv.com/songs/60125912.mkv
易影峰-白云的心情,http://em.21dtv.com/songs/60069238.mkv
程响-不要对我说,http://em.21dtv.com/songs/60107933.mkv
程响-不要对我说,http://em.21dtv.com/songs/60084935.mkv
刘德华-不要带他走,http://em.21dtv.com/songs/60011534.mkv
张信哲-不要对他说,http://em.21dtv.com/songs/60011540.mkv
叶倩文-不要对他说(演唱会),http://em.21dtv.com/songs/60011539.mkv
容祖儿-不要对他说(演唱会),http://em.21dtv.com/songs/60011538.mkv
贺燕-白云的诉说,http://em.21dtv.com/songs/60127430.mkv
关诗敏-不远的情人,http://em.21dtv.com/songs/60115014.mkv
关诗敏-不远的情人,http://em.21dtv.com/songs/60113272.mkv
韦唯-半圆的镜子,http://em.21dtv.com/songs/60009906.mkv
于文华-不要惦记家,http://em.21dtv.com/songs/60011536.mkv
杨洪基-白云的故乡,http://em.21dtv.com/songs/60009756.mkv
李琼-白云的故乡,http://em.21dtv.com/songs/60009755.mkv
陈思思-布依的春天(演唱会),http://em.21dtv.com/songs/60011832.mkv
费玉清-白云长在天,http://em.21dtv.com/songs/60009761.mkv
佚名-不要吵醒他(无原唱),http://em.21dtv.com/songs/60011529.mkv
方炯嘉-不要唱情歌,http://em.21dtv.com/songs/60105101.mkv
许靖韵-不要吃花生,http://em.21dtv.com/songs/60128401.mkv
陈艺搏-不愿错过你,http://em.21dtv.com/songs/60113072.mkv
干露露+魏俫-不要错过爱,http://em.21dtv.com/songs/60094084.mkv
罗心洁+宪明-不要错过爱,http://em.21dtv.com/songs/60061076.mkv
徐小凤-不夜城传奇,http://em.21dtv.com/songs/60063209.mkv
陈国宁-不要不快乐,http://em.21dtv.com/songs/60088856.mkv
崔莲姬-不要不爱我,http://em.21dtv.com/songs/60062303.mkv
温岚-不要爱上我,http://em.21dtv.com/songs/60011519.mkv
李孝利-不要爱上他,http://em.21dtv.com/songs/60011518.mkv
思小妞-不要爱情了,http://em.21dtv.com/songs/60069277.mkv
金海心-把鞋子甩掉(演唱会),http://em.21dtv.com/songs/60009596.mkv
南建雄-奔向最前方,http://em.21dtv.com/songs/60128855.mkv
董小七-不想再流浪,http://em.21dtv.com/songs/60124431.mkv
庄心妍-不想做决定,http://em.21dtv.com/songs/60111840.mkv
甲子蕙-变心找别人,http://em.21dtv.com/songs/60010526.mkv
刘朋-不想再爱你,http://em.21dtv.com/songs/60074774.mkv
杨海彪-不想再爱了(演唱会),http://em.21dtv.com/songs/60011487.mkv
郭静-不想有遗憾,http://em.21dtv.com/songs/60112313.mkv
陈珂冰+陈威全-不需要勇敢,http://em.21dtv.com/songs/60074778.mkv
李思捷+王祖蓝+阮兆祥-爆笑一条龙,http://em.21dtv.com/songs/60063967.mkv
徐若瑄-不需要理由,http://em.21dtv.com/songs/60011507.mkv
黄征-不需要恨你,http://em.21dtv.com/songs/60064016.mkv
王大宇-不想一个人,http://em.21dtv.com/songs/60135541.mkv
潘赢-不想一个人,http://em.21dtv.com/songs/60064013.mkv
大宇-不想一个人,http://em.21dtv.com/songs/60061075.mkv
顺子-不想一个人,http://em.21dtv.com/songs/60011484.mkv
谢霆锋-不需要安慰,http://em.21dtv.com/songs/60011506.mkv
刘德华-不需要爱情,http://em.21dtv.com/songs/60011505.mkv
TWINS-不需要爱情,http://em.21dtv.com/songs/60011504.mkv
刘德华-不需要爱情(演唱会),http://em.21dtv.com/songs/60011503.mkv
巫启贤-不相信自己,http://em.21dtv.com/songs/60011445.mkv
苏慧伦-不想想太多,http://em.21dtv.com/songs/60011482.mkv
李玟-不相信爱情,http://em.21dtv.com/songs/60089961.mkv
李代沫-不相信爱情,http://em.21dtv.com/songs/60082666.mkv
宋晓峰-别笑我光棍,http://em.21dtv.com/songs/60115863.mkv
费玉清-不许他回家,http://em.21dtv.com/songs/60011511.mkv
张伟文-不许他回家(演唱会),http://em.21dtv.com/songs/60011510.mkv
黄品源-不想说再见,http://em.21dtv.com/songs/60117408.mkv
房祖名+郭采洁-不想说再见,http://em.21dtv.com/songs/60081877.mkv
腾格尔-不想说再见,http://em.21dtv.com/songs/60011480.mkv
刘依纯-不想说再见(无原唱),http://em.21dtv.com/songs/60011479.mkv
