


电视,#genre#


CCTV1,https://angtv.cn/test/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://angtv.cn/test/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://angtv.cn/test/bestv.php?id=cctv38m/8000000
CCTV4,https://angtv.cn/test/bestv.php?id=cctv4hd8m/8000000

CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8$1080P
CCTV5,http://lovegfs.top:8000/udp/239.120.1.46:8248

CCTV4美洲,http://hms344nc1972679590.live.aikan.miguvideo.com/wh7f454c46tw2087320283_-876815993/migu/kailu/20200324/cctv4meihd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426161100&ContentId=265667335&timezone=UTC&mtv_session=9de016f966bff8e72afcd5fccab460fe&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=79b8d51a3105d0beb31ae1f6db95827e
CCTV4欧洲,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw1798072077_1881739463/migu/kailu/20200324/cctv4ouhd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426160611&ContentId=265667313&timezone=UTC&mtv_session=a1f0d3ea23dedcfb57026533e0f9fba7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=205e99763af1a2e155df364630a7b05a

CCTV5+,https://angtv.cn/test/bestv.php?id=cctv5hd8m/8000000
CCTV6,https://angtv.cn/test/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://angtv.cn/test/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://angtv.cn/test/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://angtv.cn/test/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://angtv.cn/test/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://angtv.cn/test/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://angtv.cn/test/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://angtv.cn/test/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://angtv.cn/test/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://angtv.cn/test/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://angtv.cn/test/bestv.php?id=cctv16hd8m/8000000
CCTV17,https://angtv.cn/test/bestv.php?id=cctv17hd8m/8000000
四川卫视,https://angtv.cn/test/bestv.php?id=scwshd/8000000
北京卫视,https://angtv.cn/test/bestv.php?id=bjwshd8m/8000000
天津卫视,https://angtv.cn/test/bestv.php?id=tjwshd8m/8000000
重庆卫视,https://angtv.cn/test/bestv.php?id=cqws8m/8000000
东方卫视,https://angtv.cn/test/bestv.php?id=dfwshd8m/8000000
江苏卫视,https://angtv.cn/test/bestv.php?id=jswshd8m/8000000
浙江卫视,https://angtv.cn/test/bestv.php?id=zjwshd8m/8000000
东南卫视,https://angtv.cn/test/bestv.php?id=dnwshd8m/8000000
广东卫视,https://angtv.cn/test/bestv.php?id=gdwshd8m/8000000
广西卫视,https://angtv.cn/test/bestv.php?id=gxwshd8m/8000000
贵州卫视,https://angtv.cn/test/bestv.php?id=gzwshd8m/8000000
